id,brand,model,year,fuel,kms,transmission,2door,color,type,displacement,hp,euro,price
6377861352baeff9c302ecd5,Acura,MDX,2019,p,62000.0,1.0,0.0,gray,jeep,3500,290,6,68500.0
63da7dd7ec0a5d15db058093,Acura,TSX,2010,p,210111.0,1.0,0.0,gray,sedan,3500,300,5,20999.0
629d821d06531be0890c2363,Acura,Integra,2006,d,180500.0,0.0,0.0,gray,hatchback,1900,105,4,8700.0
625a5e7ba9d221737b030d22,Acura,MDX,2013,g,88000.0,1.0,0.0,white,jeep,,300,,35000.0
6374de30330623538a0730f6,Acura,MDX,2008,p,140000.0,1.0,0.0,silver,jeep,3700,310,,19500.0
615ef482c1bb0a59414f8cc2,Acura,RL,2014,p,206000.0,1.0,0.0,gray,sedan,3500,310,5,39999.0
63f1e9820d842551d906b884,Acura,MDX,2010,g,218000.0,1.0,0.0,bordo,jeep,3700,306,5,30000.0
639c62037846915dc60939d3,Acura,MDX,2011,p,145808.0,1.0,0.0,black,jeep,3664,303,5,34995.0
63c3f7d6937da6e46f04f4c2,Acura,MDX,2014,p,191.0,1.0,0.0,black,jeep,3500,290,,58000.0
6405f307edd5cce35002b0c2,BMW,330,2004,d,299000.0,0.0,1.0,black,coupe,2998,204,4,8500.0
6409bf5e129099d6cb0ab214,BMW,316,2013,d,175000.0,1.0,0.0,gray,combi,,116,5,20888.0
637f4eed8e86abec320555d2,BMW,116,2017,d,71000.0,0.0,0.0,black,hatchback,1500,116,6,26999.0
63ea1fe8202f61c1e30885b9,BMW,318,2003,g,187000.0,0.0,0.0,gray,sedan,1800,143,4,5555.0
6352654b9262cbbaed027c02,BMW,545,2004,p,67000.0,1.0,0.0,gray,sedan,4500,,,11500.0
63bbe31a835756d87d0d0b83,BMW,X1,2011,d,229500.0,0.0,0.0,gray,jeep,1800,143,5,18999.0
63bbdd16626ca1c25a09ed85,BMW,523,2011,p,225000.0,1.0,0.0,gray,sedan,3000,204,5,25899.0
638d99397d02d9e9ee08d962,BMW,730,2007,d,227237.0,1.0,0.0,black,sedan,3000,231,4,19999.0
63f73245982a8c58990ca952,BMW,X5,2009,d,224500.0,1.0,0.0,chameleon,jeep,3500,300,4,24899.0
63d94b6a79c5d07ead06f5f2,BMW,740,2012,d,209750.0,1.0,0.0,black,sedan,4000,306,5,34999.0
63f78f85759f33384007ea22,BMW,530,2008,d,223000.0,1.0,0.0,blue,combi,3000,235,4,16999.0
639dc6c28efd66f7cf0a4c43,BMW,320,2006,d,193000.0,0.0,0.0,black,sedan,2000,163,4,8777.0
640a54c36a6ab9c02c00e674,BMW,X5,2011,d,250000.0,1.0,0.0,gray,jeep,3000,245,,29000.0
63e3d0158493acd2a606e362,BMW,318,2008,d,155000.0,0.0,0.0,gray,combi,2000,143,4,7500.0
631f0cdf354344c12209a637,BMW,316,2012,d,287000.0,0.0,0.0,black,sedan,2000,116,5,18300.0
63c80989fd53c109440a9cc5,BMW,X5,2006,d,235000.0,1.0,0.0,black,jeep,3000,218,4,12200.0
637db473d8350bf2ef00f713,BMW,525,2006,d,215332.0,1.0,0.0,black,combi,,,,5699.0
634794ad5b5b0907d70c49a3,BMW,520,2003,d,215448.0,0.0,0.0,gray,sedan,,136,,2199.0
63fd94a235e51d97b303fcb5,BMW,730,2005,d,215332.0,1.0,0.0,black,sedan,,218,,8999.0
63f8d7f08114f1f68f0c1e82,BMW,330,2008,d,172970.0,1.0,0.0,black,sedan,3000,231,,11900.0
640c330805d8be9e2e01ec62,BMW,730,2005,d,354617.0,1.0,0.0,green,sedan,3000,218,3,15800.0
6199007407ca784fb82bee92,BMW,330,2006,d,210000.0,1.0,0.0,blue,combi,3000,231,4,10399.0
63483a89c2de5ffbb50ab4a4,BMW,316,2013,d,170000.0,0.0,0.0,white,sedan,2000,116,5,18500.0
63d5589aac8c59e670076c56,BMW,530,2012,d,219000.0,1.0,0.0,black,sedan,3000,245,5,30900.0
63f51d3f25d51d31120ae223,BMW,5,2010,d,235000.0,1.0,0.0,black,hatchback,3000,245,5,25999.0
63eb62e78b45021d8b01eae8,BMW,X3,2004,d,224000.0,1.0,0.0,blue,jeep,3000,204,4,10500.0
62aea104c6afbf19ae0f5dc2,BMW,318,2004,d,187245.0,0.0,0.0,gray,combi,2000,122,,3999.0
639b7564f24948aecc0e6732,BMW,120,2011,d,182000.0,1.0,0.0,black,hatchback,2000,184,5,17900.0
638670020ac6f990c10c5d32,BMW,X3,2010,d,202000.0,1.0,0.0,gray,jeep,2000,184,5,22500.0
640d91e1805e4af820098f52,BMW,118,2010,d,315000.0,1.0,0.0,brown,hatchback,2000,143,5,13333.0
63feda0288b4b0701705afb2,BMW,633,1982,p,216000.0,0.0,1.0,green,coupe,,,,19900.0
63f77a70cbcb07f6950aed94,BMW,X3,2007,d,204089.0,0.0,0.0,black,jeep,2000,150,4,8300.0
640d945607134bdb060d2d32,BMW,320,2007,d,302000.0,0.0,0.0,black,combi,2000,163,4,7200.0
62fcc0fb8da26b5dcb01f212,BMW,318,2006,p,183200.0,0.0,0.0,gray,sedan,2000,130,4,7999.0
6263c4040d67ff57a70453f2,BMW,X3,2011,d,235000.0,1.0,0.0,gray,jeep,3000,258,5,28700.0
640d929634fbfa119a0240b5,BMW,X3,2008,d,263000.0,0.0,0.0,black,jeep,,150,,11000.0
6401ab39dd50cb0d5b046466,BMW,X5,2007,d,255000.0,1.0,0.0,gray,jeep,3000,235,4,16900.0
6344357db563200bd10d0935,BMW,535,2014,h,18000.0,1.0,0.0,gray,sedan,3500,340,6,37500.0
63ae9f9d84d7a00e5602f0d7,BMW,X3,2004,d,320000.0,1.0,0.0,black,jeep,3000,204,4,10500.0
